run,seed,val_MSE,val_RMSE,val_MAE,epochs,time
33,1245,18338.44422101485,135.41951196565012,133.92090169270833,10,3.913184881210327
34,162,3233.054968103488,56.85995926927391,52.63663725585938,10,3.9502530097961426
35,160,749.5601950165952,27.378096994068,25.023888590494792,10,3.920606851577759
36,18577,6651.168449090872,81.5546960578658,79.60900702582465,10,4.403384208679199
37,44,14126.316631889104,118.8541822229622,117.34978515625,10,3.999201774597168
38,55,6542.341395940995,80.88474142841154,79.2093834092882,10,3.9514071941375732
39,10390,21281.598187613836,145.88213800055794,144.08642286512585,10,3.9888041019439697
40,27,8477.217440952025,92.07180589600719,89.72573703342015,10,3.9906351566314697
41,30,13770.391543134749,117.3473116144326,115.38907185872395,10,4.044410943984985
42,26416,1650.5353953273084,40.62678174957141,35.332265326605906,10,3.922905921936035
43,140,13990.31280693771,118.28065271606219,115.83173706054687,10,4.006031036376953
44,56,3282.99489774672,57.29742487884355,54.774922417534725,10,4.020601987838745
45,1862,450.1746018091888,21.21731844058501,17.24976191948785,10,3.9585561752319336
46,72,853.7929009909132,29.219734786457476,26.48060178493924,10,4.055718898773193
47,52,2697.488199650125,51.937348793042226,49.605393744574656,10,4.053781032562256
48,1431,11733.416047946439,108.3208938660794,105.28597696940105,10,4.632027864456177
49,112,11843.151506921799,108.82624456867838,107.53967949761285,10,3.975959062576294
50,129,16802.893662624945,129.6259760334515,126.75169813368055,10,3.966648817062378
51,4327,3334.044784478451,57.74118793788755,55.649062093098955,10,3.959831953048706
52,97,3604.6143849032296,60.03844089334124,57.96248033311632,10,4.05783224105835
53,88,6581.936045021808,81.12913191339969,79.77731160481771,10,4.00165581703186
54,5011,6153.220114286085,78.44246371886904,76.10639634874131,10,4.021894693374634
55,80,4306.282130574051,65.62226855705349,63.16058064778646,10,4.012744903564453
56,43,7297.940222524408,85.42798266683117,83.67554429796007,10,3.9478399753570557
57,1261,5712.876643260039,75.58357389843404,73.42365478515624,10,4.313225030899048
58,67,3518.0997956090678,59.3135717657356,56.52917192925348,10,4.019270896911621
59,21,24131.601323212435,155.343494627913,152.40702690972222,10,4.00474214553833
60,6770,13220.226095453563,114.97924201982532,113.15408447265625,10,4.153375864028931
61,73,17507.680496579604,132.3165919171878,130.71004720052085,10,3.9991869926452637
62,135,9246.907492254139,96.16084178216276,93.60616373697917,10,5.4282591342926025
63,2047,3159.378021245324,56.20834476521546,52.41435387912327,10,4.07214093208313
64,96,8383.931519433032,91.5638111888809,88.90697387695313,10,4.359411001205444
65,89,17941.057292363126,133.94423202349225,132.32700710720485,10,4.0491859912872314
66,20528,1711.903757171544,41.37515869663274,36.271280268012156,10,4.231182098388672
67,110,4686.315126013945,68.45666604512627,64.87338609483507,10,4.344051122665405
68,107,60205.11806884838,245.36731255170966,244.07724229600694,10,4.167264938354492
69,277642,15531.700412591654,124.6262428728061,122.61767740885416,10,4.253212928771973
70,145,9549.375435341753,97.72090582542587,96.66274671766493,10,4.096205711364746
71,48,59587.195063068866,244.1048853732118,242.80810777452257,10,3.9830410480499268
72,7786,1435.8863337931,37.89309084507491,32.879048990885416,10,4.038954973220825
73,161,5875.99421839964,76.65503387514508,73.59600816514757,10,4.313059091567993
74,57,4152.7487583529655,64.4418246044676,61.802635769314236,10,4.049554109573364
75,199,60750.94057986309,246.47705893219168,245.19282762315538,10,4.0387678146362305
76,5929,3280.008262630369,57.271356388952135,53.67240525716146,10,3.9296281337738037
77,298,6970.393697452882,83.48888367592947,80.07501125759549,10,4.066619157791138
78,59,32057.675105379993,179.0465724480086,177.30257703993055,10,3.9289021492004395
79,1623,979.7125015557721,31.300359447708775,28.892805430772572,10,5.23553991317749
